,job_location,job_title,job_company,job_price,job_price_min,job_price_max
284,广州,数据分析师[天河区],智品网络,18k-35k,18,35
285,广州,数据分析师[天河区],智品网络,17k-27k,17,27
286,广州,数据分析师[天河区],智品网络,20k-35k,20,35
287,广州,市场分析师经理/总监[海珠区],美业颜究院,25k-50k,25,50
288,广州,数据挖掘分析师[海珠区],美业颜究院,15k-25k,15,25
289,广州,管理培训生（数据分析）[天河区],广发银行信用卡中心,10k-15k,10,15
290,广州,管理培训生（数据分析）[天河区],广发银行信用卡中心,10k-20k,10,20
291,广州,初级需求分析师[黄埔区],齐明软件,3k-5k,3,5
292,广州,数据分析师[新港],广东亿迅,15k-30k,15,30
293,广州,需求分析[珠江新城],广东亿迅,8k-10k,8,10
294,广州,需求分析（亿迅校招，广州）[天河区],广东亿迅,7k-10k,7,10
295,广州,高级数据分析师[天河区],智品网络,15k-30k,15,30
296,广州,（高级）供应链主任-大数据分析支持[越秀区],屈臣氏中国,6k-10k,6,10
297,广州,商业分析师 (MJ004096)[番禺区],YY,20k-35k,20,35
298,广州,业务分析师-营销领域[番禺区],大圣科技,10k-20k,10,20
299,广州,需求分析工程师[珠江新城],广东亿迅,10k-18k,10,18
300,广州,[2022校招]Commercial Insight 投资分析岗[越秀区],屈臣氏中国,8k-10k,8,10
301,广州,[2022校招]网点规划分析岗[越秀区],屈臣氏中国,8k-10k,8,10
302,广州,高级数据分析师 (MJ000964)[珠江新城],趣丸,15k-30k,15,30
303,广州,高级数据分析师(营收) (MJ000985)[珠江新城],趣丸,15k-30k,15,30
304,广州,高级数据分析师（商业方向）(JU3RV)[天河区],一面数据,15k-30k,15,30
305,广州,Bigo live-数据分析师 (MJ003731)[番禺区],BIGO,15k-25k,15,25
306,广州,需求分析师［大数据方向］[林和],广东亿迅,10k-20k,10,20
307,广州,数据分析师[新港],如祺出行,20k-30k,20,30
308,广州,需求分析师[五山],广东亿迅,10k-16k,10,16
309,广州,数据分析师[天河区],北京蜜莱坞网络科技有限公司,15k-30k,15,30
310,广州,软件研发需求分析师[珠江新城],广东亿迅,12k-20k,12,20
311,广州,数据挖掘分析工程师 (MJ005286)[海珠区],钱大妈,20k-40k,20,40
312,广州,BA需求分析师[东风东],CLPS,15k-20k,15,20
313,广州,BA需求分析师（英语流利）[天河区],信必优Symbio(深圳),18k-35k,18,35
314,广州,高级数据分析师[天河区],网易,18k-35k,18,35
315,广州,高级数据分析师（营收方向）[天河区],网易,18k-35k,18,35
316,广州,商业策略分析专家 (MJ005531)[海珠区],钱大妈,15k-30k,15,30
317,广州,需求分析师[海珠区],润建股份,8k-15k,8,15
318,广州,分析师[天河区],广东博众智能科技投资有限公司,11k-20k,11,20
319,广州,市场分析专员[天河区],润建股份,4k-7k,4,7
320,广州,案件分析专员[新港],如祺出行,4k-5k,4,5
321,广州,资深数据分析师/数据分析经理[荔湾区],唯品会,15k-30k,15,30
322,广州,需求分析师-小程序(J12269)[珠江新城],斯凯奇 Skechers,10k-15k,10,15
323,广州,电商需求分析-IT高级主管-OMS系统[珠江新城],斯凯奇 Skechers,10k-15k,10,15
324,广州,高级数据分析师（商品分析）(026468)[海珠区],唯品会,16k-22k,16,22
325,广州,数据分析师-Likee[市桥],BIGO,20k-40k,20,40
326,广州,数据分析工程师[市桥],BIGO,20k-40k,20,40
327,广州,数据分析师[海珠区],唯品会,18k-30k,18,30
328,广州,大数据分析系统开发工程师（工作地点杭州）[大沙],之江实验室,14k-20k,14,20
329,广州,游戏市场及用户分析师[海珠区],阿里互动娱乐事业群,12k-20k,12,20
330,广州,数据分析师（模型方向）[天河城],广州银行信用卡中心,11k-20k,11,20
331,广州,风险政策分析师[天河城],广州银行信用卡中心,11k-18k,11,18
332,广州,海量医疗数据高性能分析工具研发工程师(工作地点杭州)[珠江新城],之江实验室,14k-20k,14,20
333,广州,脑电信号数据分析研究专员（工作地点杭州）[大沙],之江实验室,18k-30k,18,30
334,广州,高级数据分析师（AB实验方向）[市桥],BIGO,20k-40k,20,40
335,广州,数据分析（亿迅校招，广州）[珠江新城],广东亿迅,8k-10k,8,10
336,广州,数据分析师（商业洞察）-广州、深圳[新港],明略科技集团,6k-12k,6,12
337,广州,数据分析实习生[市桥],BIGO,4k-5k,4,5
338,广州,病理图像智能分析 研究员(工作地点杭州)[珠江新城],之江实验室,25k-40k,25,40
339,广州,视频分析-生成方向工程师（工作地点杭州）[大沙],之江实验室,14k-20k,14,20
340,广州,生物物理建模和信号分析工程师（工作地点杭州）[大沙],之江实验室,18k-30k,18,30
341,广州,高级数据分析经理[越秀区],屈臣氏中国,20k-35k,20,35
342,广州,量化策略分析师[黄埔区],好推网络,12k-22k,12,22
343,广州,视频分析-生成方向研究员（工作地点杭州）[大沙],之江实验室,18k-30k,18,30
344,广州,金融数据分析[天河区],广州瀚信,7k-12k,7,12
345,广州,分析助理（双休+透明晋升）[天河北],广州瀚信,5k-7k,5,7
346,广州,风险政策分析师[天河城],广州银行信用卡中心,15k-25k,15,25
347,广州,分析师[猎德],广东博众智能科技投资有限公司,10k-20k,10,20
348,广州,量化策略分析师[黄埔区],好推网络,12k-20k,12,20
349,广州,需求分析师[黄埔区],泽贤人力资源服务,18k-30k,18,30
350,广州,中高级需求分析师[大沙],泽贤人力资源服务,20k-25k,20,25
351,广州,游戏用户及市场分析师-发行#227666[新港],新仕佳人力资源,35k-65k,35,65
352,广州,高级/资深薪酬福利专员（薪酬分析方向）[天河区],亿聘世纪,15k-20k,15,20
353,广州,数据分析经理[白云区],今朝人力资源,20k-40k,20,40
354,广州,高级数据分析师[新港],今朝人力资源,30k-50k,30,50
355,广州,数据分析师[新港],某知名互联网公司,60k-90k,60,90
356,广州,资深数据分析/负责人[新港],某大型互联网公司,50k-80k,50,80
357,广州,需求分析师[黄埔区],泽贤人力资源服务,12k-24k,12,24
358,广州,Physicochemical Analysis Manager/理化分析经理[新港],睿资达,20k-25k,20,25
359,广州,数据分析师 18w-30w 广州 本科 1-3年[新港],新仕佳人力资源,15k-25k,15,25
360,广州,中高级需求分析师（广州区域）[大沙],汇渠人力资源服务,12k-20k,12,20
361,广州,数据分析师 18w-30w 广州 本科 1-3年[新港],新仕佳人力资源,15k-25k,15,25
362,广州,高级数据分析师[天河区],今朝人力资源,20k-30k,20,30
363,广州,Physicochemical Analysis Manager/理化分析经理[新港],睿资达,20k-25k,20,25
364,广州,中/高级需求分析师[黄埔区],泽贤人力资源服务,15k-25k,15,25
365,广州,数据分析师[新港],新仕佳人力资源,18k-30k,18,30
366,广州,数据分析师(商业)[新港],众汇海成,12k-20k,12,20
367,广州,数据分析师[新港],亿聘世纪,15k-25k,15,25
368,广州,商业数据分析师(电商)[珠江新城],众汇海成,15k-20k,15,20
369,广州,需求分析师[东湖],泽贤人力资源服务,15k-30k,15,30
